学生	语文	数学	英语	总分
a1	70	90	81	241
a2	69	75	68	212
a3	81	68	76	225
a4	52	56	90	198
a5	65	52	80	197
a6	54	75	52	181
a7	67	94	76	237
a8	73	53	64	190
a9	65	63	60	188
a10	92	82	75	249
b1	54	83	82	219
b2	98	78	54	230
b3	88	70	58	216
b4	81	82	76	239
b5	92	67	100	259
b6	87	95	96	278
b7	50	50	88	188
b8	61	71	92	224
b9	93	55	76	224
b10	92	80	67	239
c1	70	57	71	198
c2	62	60	82	204
c3	97	86	63	246
c4	93	56	82	231
c5	50	87	70	207
c6	60	86	90	236
c7	69	68	86	223
c8	89	93	63	245
c9	94	57	75	226
c10	52	54	98	204
d1	95	68	90	253
d2	50	92	92	234
d3	52	98	90	240
d4	61	85	72	218
d5	85	73	92	250
d6	69	66	63	198
d7	88	88	56	232
d8	72	78	51	201
d9	65	53	60	178
d10	95	95	85	275
e1	94	88	99	281
e2	97	87	97	281
e3	87	54	94	235
e4	66	89	67	222
e5	51	73	58	182
e6	99	95	65	259
e7	93	68	82	243
e8	93	88	88	269
e9	60	57	56	173
e10	56	80	55	191
f1	60	98	54	212
f2	52	100	55	207
f3	73	90	83	246
f4	72	53	96	221
f5	92	50	69	211
f6	54	87	72	213
f7	93	53	58	204
f8	86	51	74	211
f9	58	65	75	198
f10	63	57	70	190
g1	69	89	66	224
g2	95	51	77	223
g3	72	70	79	221
g4	78	72	67	217
g5	62	79	84	225
g6	81	52	70	203
g7	58	83	79	220
g8	92	73	91	256
g9	98	69	94	261
g10	51	56	63	170
h1	69	51	88	208
h2	83	59	77	219
h3	86	88	59	233
h4	92	98	89	279
h5	100	65	52	217
h6	84	55	50	189
h7	70	92	52	214
h8	94	70	56	220
h9	82	54	74	210
h10	100	94	75	269
i1	90	77	50	217
i2	61	79	68	208
i3	94	64	57	215
i4	98	99	91	288
i5	95	54	97	246
i6	65	55	70	190
i7	65	63	67	195
i8	65	91	75	231
i9	54	84	53	191
i10	61	94	100	255
j1	56	68	53	177
j2	75	89	57	221
j3	60	91	83	234
j4	51	99	73	223
j5	77	83	96	256
j6	78	59	82	219
j7	68	75	54	197
j8	59	87	64	210
j9	80	54	94	228
j10	59	71	97	227
